Program,Year,Value
SURVEY,2023,3.6
SURVEY,2023,3.6
SURVEY,2022,3.7
SURVEY,2022,3.5
SURVEY,2022,3.8
SURVEY,2021,3.5
SURVEY,2021,3.3
SURVEY,2021,3.6
SURVEY,2020,3.5
SURVEY,2020,3.5
SURVEY,2020,3.7
SURVEY,2019,3.4
SURVEY,2019,3.3
SURVEY,2019,3.2
SURVEY,2018,3.7
SURVEY,2018,3.5
SURVEY,2018,3.8
SURVEY,2017,3.5
SURVEY,2017,3.6
SURVEY,2017,3.4
SURVEY,2016,4.2
SURVEY,2016,4
SURVEY,2016,4.5
SURVEY,2015,3.9
SURVEY,2015,3.6
SURVEY,2015,3.6
SURVEY,2014,3.6
SURVEY,2014,3.7
SURVEY,2014,3.4
SURVEY,2013,3.3
SURVEY,2013,3.5
SURVEY,2012,2.9
SURVEY,2012,3.1
SURVEY,2012,2.9
SURVEY,2011,3.4
SURVEY,2011,3.4
SURVEY,2011,3.4
SURVEY,2010,3.4
SURVEY,2010,3.6
SURVEY,2010,3.4
SURVEY,2009,3.6
SURVEY,2009,3.8
SURVEY,2009,3.7
SURVEY,2008,3.8
SURVEY,2008,4.3
SURVEY,2008,4.2
SURVEY,2007,4
SURVEY,2007,3.7
SURVEY,2007,3.8
SURVEY,2006,3.9
SURVEY,2006,3.9
SURVEY,2006,4.3
SURVEY,2005,4.1
SURVEY,2005,4
SURVEY,2005,4
SURVEY,2004,4.2
SURVEY,2004,4.2
SURVEY,2004,4.3
SURVEY,2003,3.7
SURVEY,2003,4
SURVEY,2003,4
SURVEY,2002,3.9
SURVEY,2002,3.5
SURVEY,2002,3.6
SURVEY,2001,3.7
SURVEY,2001,3.7
SURVEY,2001,3.7
SURVEY,2000,3.9
SURVEY,2000,3.7
SURVEY,2000,3.7
SURVEY,1999,3.9
SURVEY,1999,3.7
SURVEY,1999,4.2
SURVEY,1998,3.6
SURVEY,1997,3.5
SURVEY,1996,3.6
SURVEY,1995,3.6
SURVEY,1994,3.7
SURVEY,1993,2.55
SURVEY,1992,3.7
SURVEY,1991,3.7
SURVEY,1990,3.75
SURVEY,1989,3
SURVEY,1988,2.35
SURVEY,1987,3.75
