Year,State,State ANSI,Commodity,Value
2023,IOWA,19,OATS,70
2022,IOWA,19,OATS,80
2021,IOWA,19,OATS,77
2020,IOWA,19,OATS,78
2019,IOWA,19,OATS,58
2018,IOWA,19,OATS,63
2017,IOWA,19,OATS,77
2016,IOWA,19,OATS,76
2015,IOWA,19,OATS,73
2014,IOWA,19,OATS,64
2013,IOWA,19,OATS,66
2012,IOWA,19,OATS,65
2011,IOWA,19,OATS,64
2010,IOWA,19,OATS,62
2009,IOWA,19,OATS,65
2008,IOWA,19,OATS,65
2007,IOWA,19,OATS,71
2006,IOWA,19,OATS,76
2005,IOWA,19,OATS,79
2004,IOWA,19,OATS,72
2003,IOWA,19,OATS,83
2002,IOWA,19,OATS,76
2001,IOWA,19,OATS,70
2000,IOWA,19,OATS,67
1999,IOWA,19,OATS,65
1998,IOWA,19,OATS,59
1997,IOWA,19,OATS,73
1996,IOWA,19,OATS,68
1995,IOWA,19,OATS,65
1994,IOWA,19,OATS,62
1993,IOWA,19,OATS,40
1992,IOWA,19,OATS,67
1991,IOWA,19,OATS,50
1990,IOWA,19,OATS,68
